,fullTimeEmployees,auditRisk,overallRisk,dividendYield,payoutRatio,fiveYearAvgDividendYield,beta,forwardPE,averageVolume,marketCap,ebitdaMargins,earningsGrowth,returnOnEquity,Cluster_KMeans,Cluster_DBSCAN,Cluster_Hierarchical,PCA1,PCA2
0,61500.0,1.0,9.0,2.02,0.4972,4.28,1.017,18.334177,4099218.0,78114816000.0,0.22258,-0.217,0.91850996,0,-1,0,-24252201881.629913,-1462013.5268394565
1,12700.0,5.0,10.0,2.07,0.35810003,1.72,1.177,16.120392,1395768.0,9416937472.0,0.20364,-0.181,0.28627002,0,-1,0,-92950080459.10777,-2177217.6731893686
2,114000.0,7.0,6.0,1.8,0.288,1.66,0.693,25.352715,6767804.0,226883747840.0,0.2554,4.794,0.30906,0,-1,0,124516729973.304,-3099054.4578439672
3,55000.0,4.0,7.0,3.2,2.5941,4.04,0.598,16.924154,6232826.0,363153883136.0,0.47428,0.0,0.62292,3,-1,2,260786865196.73853,-7577871.209643707
4,801000.0,1.0,2.0,1.95,0.45669997,1.36,1.239,21.629707,3205095.0,190652383232.0,0.17066999,0.072,0.26965,0,-1,0,88285365277.47783,-5613500.919095006
5,30709.0,1.0,2.0,0.0,0.0,0.12,1.37,18.769342,3795680.0,164389601280.0,0.3932,2.044,0.47284,0,-1,0,62022583353.44652,-4262461.578982802
6,28000.0,7.0,5.0,0.0,0.0,0.0,1.736,20.239216,38178439.0,167265943552.0,0.19973,-0.297,0.02893,0,-1,0,64898926619.33403,30037048.99193302
7,9100.0,4.0,4.0,5.62,0.2911,3.26,0.931,6.1133003,15315993.0,8834691072.0,0.26714,0.0,0.10055,0,-1,0,-93532326455.99068,11759858.553147256
8,12694.0,3.0,7.0,2.11,0.2077,2.34,0.926,15.3138075,1908357.0,59930484736.0,0.35156,6.544,0.22639999,0,-1,0,-42436533201.428795,-3126568.398876353
9,17900.0,7.0,7.0,0.85,0.2193,0.65,1.111,20.653097,1850547.0,33268670464.0,0.27583,-0.059,0.20614,0,-1,0,-69098347463.93452,-2412747.017444593
10,23000.0,8.0,1.0,2.45,0.4097,2.27,0.869,20.625969,1499795.0,65023057920.0,0.35981,0.015,0.22396,0,-1,0,-37343960031.38447,-3682522.1831811424
11,7300.0,9.0,10.0,0.0,0.0,0.0,1.108,26.82,5112670.0,74989527040.0,0.23275,0.0,0.31948,0,-1,0,-27377490810.99872,-358085.00498354016
12,10700.0,6.0,4.0,0.0,0.0,0.0,0.676,11.983534,2606650.0,12032956416.0,0.27962,-0.105,0.10657,0,-1,0,-90334061481.15886,-1042046.4619107405
13,8300.0,5.0,7.0,2.24,0.5797,1.14,1.704,39.233696,2529126.0,8493225984.0,-0.00169,0.0,-0.11432,0,-1,0,-93873791913.9204,-1017124.0654917238
14,552.0,7.0,8.0,5.52,2.8832998,3.32,1.193,27.790697,1273572.0,16547595264.0,0.62756,0.0,0.02269,0,-1,0,-85819422673.63274,-2505780.02983067
15,20945.0,3.0,8.0,0.0,0.0,0.0,1.688,15.517544,993475.0,11717474304.0,0.2052,-0.147,0.112629995,0,-1,0,-90649543639.71298,-2646095.6486647874
16,14400.0,8.0,6.0,1.59,0.28149998,1.33,1.116,16.468548,946275.0,11070194688.0,0.23774,0.234,0.42391,0,-1,0,-91296823256.80898,-2674559.240059573
17,2998.0,5.0,2.0,3.19,0.71379995,3.12,0.536,19.684212,1873400.0,16320478208.0,0.42753,0.235,0.10014,0,-1,0,-86046539712.17723,-1899380.154603975
18,55000.0,8.0,3.0,1.94,0.2166,2.39,0.464,10.8486595,1905675.0,54714617856.0,0.10572,0.282,0.23586,0,-1,0,-47652400079.31513,-2978315.471455561
19,183323.0,8.0,10.0,0.52,0.0746,0.0,1.025,17.22433,30147947.0,1890789490688.0,0.36997002,0.309,0.32908002,2,-1,3,1788422472801.0942,-27874936.084268413
